T:name: cielo loc:stk, tweet: 675314326886977536  :  recap #lastnight #thirstythursdays @cieloclub #cielo #meatpackingdistrict #nyc @ cielo @link (40.7398529,-74.0072708)386386819
T:name: sant ambroeus loc:extra virgin, tweet: 675321080026947584  :  seasonal @ sant ambroeus west village @link (40.7354012,-74.0031433)16412637
T:name: buttermilk bakeshop loc:gather, tweet: 675323432016306177  :  @bbakeshopny #buttermilk bakeshop  @link excellent @link (40.66660963,-73.98182631)421095102
T:name: waldorf astoria loc:sir harry's, tweet: 675324419229810688  :  holiday party perfect ending @ waldorf astoria new york @link (40.75652616,-73.97354189)34300104
T:name: waldorf astoria loc:sir harry's, tweet: 675329659345772545  :  swept right off my feet  #fabio #lithappens @ waldorf astoria new york @link (40.75652616,-73.97354189)18753099
T:name: city of saints coffee roasters loc:ippudo, tweet: 675332253489217536  :  coffee mtg (@ city of saints coffee roasters in new york ny @link (40.73110039,-73.99015091)418
T:name: waldorf astoria loc:sir harry's, tweet: 675332272254488576  :  best holiday party ever @ waldorf astoria new york @link (40.75652616,-73.97354189)460097537
T:name: sweet chick loc:dirty french, tweet: 675347555564130304  :  grape soda its like im dating an 8 year old  @ sweet chick @link (40.7218437,-73.9872589)361401222
M:name: metropolitan museum of art loc:members dining room @ the met museum, tweet: 675351147100639232  :  ?????????????? @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)7183982
M:name: metropolitan museum of art loc:members dining room @ the met museum, tweet: 675351585795518464  :  ???????????? @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)7183982
M:name: metropolitan museum of art loc:members dining room @ the met museum, tweet: 675351748819722240  :  just posted a photo @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)7183982
M:name: metropolitan museum of art loc:members dining room @ the met museum, tweet: 675352258687705088  :  ????? @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)7183982
T:name: bec loc:silom thai, tweet: 675353201001017344  :  welcome to new york  evolof @ bec @link (40.7418022,-74.0008163)571411806
M:name: metropolitan museum of art loc:members dining room @ the met museum, tweet: 675354579106705408  :  ??????????????????????? @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)7183982
M:name: metropolitan museum of art loc:members dining room @ the met museum, tweet: 675355563061047297  :  ?????????? @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)7183982
T:name: bantam bagels loc:ghandi cafe, tweet: 675357215365156864  :  im at bantam bagels in new york ny @link (40.73192555,-74.00341272)22545669
M:name: metropolitan museum of art loc:members dining room @ the met museum, tweet: 675357423058685952  :  ??????????????????????????? @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)7183982
M:name: metropolitan museum of art loc:members dining room @ the met museum, tweet: 675357668786204672  :  ??????????????? @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)7183982
M:name: metropolitan museum of art loc:members dining room @ the met museum, tweet: 675358500558651392  :  ?????? @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)7183982
M:name: metropolitan museum of art loc:members dining room @ the met museum, tweet: 675359222436098048  :  8????????????????????????????????????????? @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)7183982
M:name: metropolitan museum of art loc:members dining room @ the met museum, tweet: 675359621167587328  :  ??????????????? @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)7183982
M:name: metropolitan museum of art loc:members dining room @ the met museum, tweet: 675360279149068289  :  ????????????? @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)7183982
M:name: metropolitan museum of art loc:members dining room @ the met museum, tweet: 675360698457825284  :  ???????????? @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)7183982
M:name: metropolitan museum of art loc:members dining room @ the met museum, tweet: 675361173898924036  :  ????????????????? @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)7183982
M:name: metropolitan museum of art loc:members dining room @ the met museum, tweet: 675361876503564289  :  ????????????????????????????????????? @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)7183982
T:name: pergola loc:nosh! - courtyard by marriott, tweet: 675365969766797312  :  im at pergola in new york ny @link (40.75344793,-73.98612213)15447531
T:name: 16 handles loc:amura japanese restaurant, tweet: 675377269012066306  :  im at @16handles in new york ny @link (40.774953,-73.953899)41042519
T:name: yakitori totto loc:chai thai kitchen, tweet: 675378025190567936  :  lunch with marcelo (@ yakitori totto in new york ny @link (40.76532189,-73.9834018)37683345
M:name: parm loc:the grey dog mulberry, tweet: 675378342267326465  :  parm (@ parm mulberry street in new york ny @link (40.72301983,-73.995854)133415557
T:name: estancia 460 loc:the greek, tweet: 675380335413215232  :  tribeca dreaming dana faith holiday sale @estancia460 #danafaithjewelry #shopping #sale… @link (40.7237816,-74.0097427)258397250
T:name: capitale loc:double crispy bakery, tweet: 675381143571705856  :  company holiday party (@ capitale in new york ny @link (40.71880478,-73.99501746)59294611
T:name: waldorf astoria loc:sir harry's, tweet: 675381241248530432  :  2015 legislative forum #pasociety #pasociety15 #nyc @ waldorf astoria new york @link (40.75652616,-73.97354189)103047407
T:name: minetta tavern loc:off the wagon, tweet: 675381543611699200  :  #minettatavern #andthehipposwereboiledintheirtanks #jackkerouac #williamburroughs… @link (40.7299194,-74.0007553)53068986
T:name: refinery rooftop loc:lan sheng restaurant szechuan food, tweet: 675381594883022849  :  friday @ refinery rooftop @link (40.7523804,-73.9851913)96701470
T:name: rustico loc:le marecage, tweet: 675381865008734208  :  im at rustico cafe in new york ny @link (40.72786758,-73.9850891)23279141
T:name: yum yum bangkok loc:cara mia, tweet: 675387930744090624  :  named appropriately yum (@ yum yum bangkok in new york ny @link @link (40.76071578,-73.99081707)46433291
T:name: tabata noodle restaurant loc:blue ruin, tweet: 675388059987365888  :  ramen (@ tabata noodle restaurant in new york ny @link (40.75683324,-73.99352878)202462183
T:name: 121 fulton street loc:long island bagel cafe, tweet: 675389609409409024  :  im at 121 fulton street in new york ny @link (40.710205,-74.00712018)42668711
T:name: roomr loc:juliana's pizza, tweet: 675391281565184000  :  brooklyn @ roomr cafe on #dumbo @link (40.7027893,-73.9934998)274047280
T:name: buvette loc:l'aile ou la cuisse (l'a.o.c), tweet: 675391763687804928  :  im at buvette  @ilovebuvette in new york ny @link (40.73272229,-74.0041852)723087967
T:name: brooklyn moon cafe loc:bati, tweet: 675394532196806656  :  oh how ive missed thee @ brooklyn moon cafe @link (40.6865692,-73.9747696)37197860
M:name: metropolitan museum of art loc:members dining room @ the met museum, tweet: 675400139524153344  :  they have the hymns to senusret iii @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)443609178
T:name: culture espresso loc:pier 79/ny waterway seattle cafe, tweet: 675402765338730496  :  the best  in  #confirmed @aranza_g @ culture espresso @link (40.75227929,-73.98577769)239082969
M:name: metropolitan museum of art loc:members dining room @ the met museum, tweet: 675408117123952641  :  my sister is here time for art @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)39419564
T:name: by chloe loc:the coffee bean tea & leaf, tweet: 675409837300318208  :  2 days in a row  (@ by chloe  @bychefchloe in new york ny @link (40.72915196,-74.00114065)129120380
T:name: uno chicago grill loc:east 86 cinemas, tweet: 675415271759323137  :  im at uno pizzeria  grill  new york  @unochicagogrill in new york ny @link (40.77836415,-73.95343781)30966760
T:name: duane park loc:starbucks coffee, tweet: 673278605380689925  :  here we are #duanepark #burlesque #boozeandboobs #classyasfuck #datenight #nightout #manhattan @… @link (40.72491002,-73.99248718)59194178
T:name: pizza rollio loc:three tarts, tweet: 673280808199856128  :  pizza rolled up thinnest crust ever fin mak at @pizzarollio in new york ny @link @link (40.76442058,-73.97421323)21546580
T:name: duane park loc:starbucks coffee, tweet: 673282363758104576  :  were classy fuckers #manhattan #nightout #datenight #duanepark #burlesque #boozeandboobs @ duane @link (40.72491002,-73.99248718)59194178
T:name: blind tiger loc:ghandi cafe, tweet: 673285317533806597  :  drinking a war bird by @pipeworksbrewin at @blindtigernyc  @link (40.7319,-74.0033)751083476
M:name: metropolitan museum of art loc:members dining room @ the met museum, tweet: 673286044477841409  :  met kids art #met @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)44912197
T:name: carroll place loc:le poisson rouge, tweet: 673286245846548480  :  im at @carrollplacenyc in new york ny @link (40.72852143,-73.99983798)486953793
T:name: the royal loc:mi garba, tweet: 673288554500460548  :  tonight @cavsrittenhouse pull up #djlife @ the royal nyc @link (40.7332802,-73.9897232)94838821
T:name: the royal loc:mi garba, tweet: 673288918159237120  :  go green go white #btninnyc @mc_hess_ @paigethomps @ the royal nyc @link (40.7332802,-73.9897232)269342920
T:name: sono loc:curry kitchen, tweet: 673289627491434497  :  im in the spot wit my #dawg #regula  #regula #onitunesnow link in my io @ sono nyc @link (40.7329292,-73.9984131)104075105
T:name: headless horseman loc:irving plaza, tweet: 673291243766595584  :  eh too hoppy  drinking a sensi 2015 by @sixpoint @ headless horseman   @link #photo (40.7348,-73.9885)45703629
M:name: metropolitan museum of art loc:members dining room @ the met museum, tweet: 673292636174684160  :  a night at the met @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)2328692489
T:name: dram shop loc:juiceland, tweet: 673292745528770560  :  eats n things w @mattatchity (@ the dram shop in brooklyn ny @link (40.66871431,-73.98515223)38445974
T:name: blind tiger loc:ghandi cafe, tweet: 673293032150667264  :  drinking a bretty crocker by @otherhalfnyc at @blindtigernyc  @link (40.7319,-74.0033)751083476
M:name: metropolitan museum of art loc:members dining room @ the met museum, tweet: 673293077155479552  :   @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)66435468
M:name: metropolitan museum of art loc:members dining room @ the met museum, tweet: 673294665530109958  :  when youre the street style version of blaire waldorf @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)155605816
T:name: phd loc:bodega negra, tweet: 673296169863368705  :  im at phd at dream downtown  @phdrooftopny in new york ny @link (40.74239352,-74.00330983)3479011
T:name: pianos loc:bisous, ciao., tweet: 673300595156107265  :  im at @pianosnyc in new york ny @link (40.72111085,-73.98786106)90787112
