name: metropolitan museum of art loc:metropolitan museum employee cafeteria, tweet: 675048139380928513  :  wisdom begins in wonder @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)353247703
name: metropolitan museum of art loc:metropolitan museum employee cafeteria, tweet: 675049356932829185  :  major league secrets @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)795789
name: crave fish bar loc:starbucks coffee, tweet: 675050721579016192  :  look who organized the beer cooler #adamprojects #cravefishbar @ crave fishbar @link (40.75503003,-73.96851912)22116591
name: metropolitan museum of art loc:metropolitan museum employee cafeteria, tweet: 675051622112862210  :   13 @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)242308766
name: capitale loc:double crispy bakery, tweet: 675052468917690368  :  new venue this year #ksny #holidayparty #capitale (@ capitale in new york ny @link (40.71880478,-73.99501746)313368275
name: blue note jazz loc:ramen-ya, tweet: 675052474814832642  :  #bluenote #bluenotejazz #bluenotejazzclub #bluenotenyc #bluenotemanhattan #manhattan #nyc… @link (40.73088057,-74.00077046)379048731
name: open kitchen loc:benton cafe, tweet: 675057448378568704  :  #cool #random #things in #nyc at #openkitchen on a #thursday #nofilter @ open kitchen nyc @link (40.7093086,-74.0071335)40086415
name: waldorf astoria loc:waldorf astoria hotel, tweet: 675057492825653252  :  #thewaldorf #nyc #luxury #njalatthewaldorf @ waldorf astoria new york @link (40.75652616,-73.97354189)34204232
name: bergen pizza loc:chan yang restaurant, tweet: 675059378194677760  :  im at bergen pizza in brooklyn ny @link (40.68072918,-73.97449446)22990826
name: johnny rockets loc:sherwood to go, tweet: 675064716016922624  :  uptown junk  @ johnny rockets @link (40.7594719,-73.9682999)335578705
name: the duck loc:indo-pak halal restaurant, tweet: 675073265509994496  :  im at @theduck in new york ny @link (40.79439631,-73.93995166)26598221
name: metropolitan museum of art loc:metropolitan museum employee cafeteria, tweet: 675076579626758144  :  squad boutta take up the delaware @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)3013661392
name: vintry loc:smorgas chef/ crepes du nord, tweet: 675082093462966273  :  holiday party   @ vintry wine  whiskey @link (40.7045174,-74.0103149)103654795
name: the back room loc:la contenta, tweet: 675083022111219713  :  creeping in the corner @ the back room @link (40.7187195,-73.986908)153047750
name: negril loc:kopi kopi, tweet: 675084964791209984  :  #just #arrived @ negril village @link (40.7293282,-73.9984283)27017561
name: metropolitan museum of art loc:metropolitan museum roof top garden cafe, tweet: 675088148590931971  :  egypt #met @metmuseum #nyc @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)63169402
name: dassara loc:zombie hut, tweet: 675093654286016512  :  falafel buns @ dassara ramen @link (40.6825714,-73.9929733)385711852
name: xes lounge loc:one star, tweet: 675094666526724097  :  meeting @edlesh! (@ xes lounge  @xesnyc in new york ny @link (40.74455837,-73.9942503)290187508
name: the lambs club loc:jimmy's corner, tweet: 675097883251707904  :  what a #stunning #champagne  laurentperrierofficial grand siècle @thelambsclub @ the lambs club @link (40.75656554,-73.98468519)634831191
name: vintry loc:smorgas chef/ crepes du nord, tweet: 675098838437359616  :  shots inpoint crew  @ vintry wine  whiskey @link (40.7045174,-74.0103149)103654795
name: westville loc:city cakes, tweet: 675099240109113348  :  im at westville chelsea in new york ny @link (40.74204,-73.99999)85419044
name: facebook loc:bluestone lane, tweet: 675099416999690240  :  we signed the #facebook wall @ facebook ny @link (40.73069144,-73.99154129)7189372
name: bob bar loc:spaghetti incident, tweet: 675099666162311169  :  thru #knowledge  #hiphop sounded backward #people  ninjacbny robgreennyc @ bob bar @link (40.7223129,-73.9900055)771972019
name: hudson common loc:sky terrace bar, tweet: 675100076226838528  :  pass dem free holiday dranks heaux (@ hudson common @ the @hudsonnyc in new york ny @link (40.76837048,-73.98491621)24896645
name: vintry loc:smorgas chef/ crepes du nord, tweet: 675101602232037376  :   #ho #ho #ho  @ vintry wine  whiskey @link (40.7045174,-74.0103149)103654795
name: fig and olive loc:valbella n.y., tweet: 675101953286868992  :  im at fig  olive  @figandoliveny in new york ny @link (40.74071594,-74.00694229)18634135
